cycle,offset,drift_filtered,drift_unfiltered
621,5,0.258673,58.468705
622,-2,0.155994,-66.077008
623,10,0.312948,121.660668
624,3,0.236658,-68.35537
625,6,0.265268,29.296875
626,5,0.227218,-9.66716
627,3,0.236556,-19.733596
628,3,0.227018,0.0
629,7,0.265165,39.062119
630,2,0.227018,-48.828602
631,6,0.274653,39.012972
632,3,0.187653,-28.975989
633,5,0.267582,19.774765
634,5,0.199103,0.0
635,8,0.194336,14.648509
636,0,0.175354,-78.032032
637,5,0.165732,48.74292
638,6,0.203908,9.794319
639,3,0.184832,-29.299736
640,3,0.156221,0.0
641,6,0.165411,28.736733
642,4,0.234106,-18.489586
643,5,0.177629,10.529419
644,3,0.16331,-19.545566
645,7,0.220627,39.161168
646,1,0.163402,-58.597756
647,5,0.153869,39.062881
648,6,0.230168,9.765053
649,2,0.153874,-39.063263
650,8,0.192019,58.591461
651,5,0.19202,-29.296875
652,2,0.211092,-29.299736
653,5,0.163576,29.296589
654,4,0.145289,-9.733592
655,7,0.247212,29.393322
656,1,0.132769,-58.595467
657,5,0.209065,39.0625
658,6,0.209065,9.76553
659,3,0.142308,-29.297733
660,5,0.209068,9.765339
661,3,0.170921,-19.531059
662,4,0.189732,9.496135
663,8,0.209921,40.205046
664,2,0.171772,-58.596039
665,6,0.181177,38.911263
666,6,0.190719,0.0
667,3,0.151906,-29.977517
668,4,0.209071,9.706853
669,3,0.142258,-9.82521
670,6,0.209016,29.296589
671,3,0.161919,-29.296017
672,5,0.180959,19.497548
673,6,0.171438,9.782534
674,3,0.180781,-29.298878
675,3,0.123275,0.0
676,11,0.285558,78.286313
677,-2,0.161574,-126.959324
678,5,0.094815,68.357372
679,3,0.1425,-19.532013
680,5,0.12361,19.530106
681,5,0.171525,0.0
682,8,0.095227,29.295158
683,6,0.114299,-19.530487
684,0,0.085685,-58.597756
685,4,0.123831,39.061737
686,7,0.209659,29.296875
687,1,-0.028714,-58.545153
688,6,0.142982,48.868212
689,3,0.104848,-29.298592
690,5,0.143025,19.531631
691,3,0.13349,-19.529915
692,2,0.019057,-9.763718
693,8,0.133493,19.518543
694,5,0.095285,-29.359666
695,3,0.038064,-19.532967
696,2,0.085691,-9.67923
697,7,0.086,49.266908
698,7,0.038362,0.0
699,4,0.124307,-29.296303
700,4,0.095697,0.0
701,4,0.067414,0.0
702,4,0.08671,0.0
703,6,0.067636,19.531631
704,5,0.067636,-9.76553
705,0,0.048455,-48.830032
706,2,0.11539,19.531441
707,7,0.020152,48.825264
